,corp_code,corp_name,stock_code
1530,01374443,인투셀,287840
1531,01455492,데이원컴퍼니,373160
1532,00146436,엔브이에이치코리아,067570
1533,00173591,세원물산,024830
1534,00177870,대창솔루션,096350
1535,00199252,HLB,028300
1536,00249502,골드앤에스,035290
1537,00258360,위지트,036090
1538,00260611,웰킵스하이텍,043590
1539,00261373,마크로젠,038290
1540,00264671,세중,039310
1541,00141583,삼양컴텍,484590
1542,00533924,이브이첨단소재,131400
1543,00145668,이화공영,001840
1544,00157636,케이피에프,024880
1545,00261656,잉크테크,049550
1546,01187148,케어랩스,263700
1547,00232007,상지건설,042940
1548,00244747,파크시스템스,140860
1549,01067808,넵튠,217270
1550,01136001,나노실리칸첨단소재,286750
1551,00409788,비에이치아이,083650
1552,01957282,테라뷰,950250
1553,01467451,KT밀리의서재,418470
1554,00348292,한빛소프트,047080
1555,01745173,이노테크,469610
1556,00128175,원익큐브,014190
1557,00131896,선광,003100
1558,00139153,에코플라스틱,038110
1559,00155452,풍국주정,023900
1560,00198192,한국팩키지,037230
1561,00203209,에쎈테크,043340
1562,00140061,티케이지애강,022220
1563,00268118,코맥스,036690
1564,00307222,YBM넷,057030
1565,00373571,스타코링크,060240
1566,00609634,아이엠,101390
1567,01228515,앱튼,270520
1568,01569102,라이콤,388790
1569,01364297,코퍼스코리아,322780
1570,01222113,인스웨이브,450520
1571,01383779,에스켐,475660
1572,00252135,주성엔지니어링,036930
1573,00125725,디모아,016670
1574,00227333,네패스,033640
1575,00229030,알멕,354320
1576,00230911,HRS,036640
1577,00307028,경남제약,053950
1578,00318316,대아티아이,045390
1579,00364740,머큐리,100590
1580,00366137,KG에코솔루션,151860
1581,00389998,한성크린텍,066980
1582,00492706,씨싸이트,109670
1583,01559637,블루엠텍,439580
1584,00808068,앤로보틱스,138360
1585,01514005,크라우드웍스,355390
1586,00252269,아이에이,038880
1587,01099861,에이텍모빌리티,224110
1588,00216434,체리부로,066360
1589,00124805,푸른저축은행,007330
1590,00408266,유니온바이오메트릭스,203450
1591,00624509,디바이스,187870
1592,00347716,중앙첨단소재,051980
1593,00990819,아티스트스튜디오,200350
